Net Revenue,LEAD_STATUS,RGN_NAME,MKT_UNIT,LOC_NAME,DIV_NAME,NUM_UNITS,BU_NAME,RATING,FF_YRS_IN_BUS_CD,PRE_OPEN,CHAIN,CITY_CE,COUNTY_CE,STATE_CE,ZIP_CE,LATITUDE,LONGITUDE,FOUNTAIN_FLAG,Prestige account,Prestige Account Name,CITY,COUNTY,STATE,ZIP
1148.31,0,6798.068420999999,6430.99364,9266.789664,5998.469353,6,6556.890311,3.5,6978.113877,0,1,7329.533289,7375.118602,7497.67897,6661.025525,42.341362,-122.8600159,1,0,,MEDFORD,Jackson,OR,97504
1275.78,0,5409.862755,5350.809466,5935.929553,5998.469353,6,6556.890311,0,7228.420638,0,1,6428.422184,6485.514581,5174.348076,6485.514581,32.5675875,-116.9962478,1,0,,SAN DIEGO,SAN DIEGO,CA,92154
385.8,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6518.161306,4.5,7228.420638,0,0,6476.292436,6476.292436,5338.747647,6476.292436,40.93521118,-74.66172791,0,0,,Hopatcong,Sussex,NJ,7843
12763.74,0,7461.945589,10297.04826,7099.370168,8429.882068,1,6556.890311,0,7228.420638,0,0,6667.370667,6594.963591,10683.58233,6711.180942,37.6400754,-93.10372635,1,0,,BUFFALO,DALLAS,MO,65622
6833.42,0,6798.068420999999,6430.99364,6436.841709,5998.469353,1,6556.890311,0,6456.673755,0,0,6519.427948,6519.427948,6298.637594,6519.427948,64.557087,-149.0964501,1,0,,Nenana,Yukon koyukuk,AK,99760
1793.15,0,5409.862755,5350.809466,5935.929553,5998.469353,6,6556.890311,3.5,6102.208892000001,0,1,6435.623522999999,6053.6798420000005,5174.348076,6435.623522999999,33.0479606,-117.2849972,1,0,,ENCINITAS,San diego,CA,92024
3991.05,0,7461.945589,6914.717079000001,7414.497813,8429.882068,1,6556.890311,0,7228.420638,0,0,6811.404270999999,6678.847658,7642.706942,6856.99974,40.68533707,-99.08436584,1,0,,KEARNEY,Buffalo,NE,68847
6786.9,0,7461.945589,10297.04826,7099.370168,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6433.877388,6556.732589,10683.58233,6514.7066939999995,36.6231574,-93.1979101,1,0,,HOLLISTER,Taney,MO,65672
1090.72,0,6798.068420999999,6136.680429999999,7711.024414,5998.469353,1,6556.890311,0,6102.208892000001,0,0,7268.087375,6935.80457,7043.0101859999995,6761.300904000001,35.2286903,-101.8179008,1,0,,AMARILLO,Potter,TX,79107
5430.64,0,7461.945589,10297.04826,10297.97698,8429.882068,1,6556.890311,0,7228.420638,0,0,6941.991048999999,6517.739861999999,10683.58233,6657.733295,39.999872,-94.878447,1,0,,SAVANNAH,ANDREW,MO,64485
449.1,0,5423.024702000001,5138.591952000001,6412.456342,5214.338214,1,6556.890311,0,7228.420638,0,0,6463.07149,6194.57651,5201.887175,6409.408990999999,30.1805623,-82.6985222,1,0,,LAKE CITY,Columbia,FL,32055
545.0,0,5409.862755,4029.324651,5653.400467,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6468.8705549999995,6388.638463,5174.348076,6468.8705549999995,36.84544619,-121.5447099,1,0,,SN JUN BATSTA,San benito,CA,95045
1655.56,0,7461.945589,4281.759279999999,5915.407902,8429.882068,6,6556.890311,0,6978.113877,0,1,6421.720778,6172.863907,4530.297843,6421.720778,44.1895271,-88.4840269,1,0,,NEENAH,Winnebago,WI,54956
3708.66,0,7461.945589,4281.759279999999,5910.558625,8429.882068,1,6556.890311,1.5,6102.208892000001,0,0,6450.3197,6291.15569,5151.664364,6450.3197,45.1521029,-93.3388949,1,0,,CHAMPLIN,Hennepin,MN,55316
3615.98,0,5544.12736,6439.48451,5775.817072,5214.338214,1,6556.890311,0,7228.420638,0,0,6430.302334,6295.280206,5816.8127810000005,6494.399161,36.6333061,-87.3170282,1,0,,CLARKSVILLE,MONTGOMERY,TN,37040
17860.44,0,7461.945589,6914.717079000001,6612.938792,8429.882068,4,6556.890311,0,6102.208892000001,0,1,6597.640615,6734.443169,7642.706942,6597.640615,40.8552207,-99.9786025,1,0,,COZAD,Dawson,NE,69130
692.46,0,7461.945589,4281.759279999999,5910.558625,8429.882068,6,6556.890311,0,6102.208892000001,0,1,6322.549273,6463.997055,5151.664364,6453.026244,44.8854813,-93.0663612,1,1,Mystic Lake Casino,SAINT PAUL,Dakota,MN,55118
166.5,0,4245.9674270000005,6058.753734000001,7360.710577,6249.421725,1,6556.890311,0,6102.208892000001,0,0,6488.61963,6467.782601,5338.747647,6488.61963,40.8807851,-74.144657,1,1,Metlife Stadium,CLIFTON,Passaic,NJ,7011
3476.9,0,4245.9674270000005,4712.520096,6469.320146999999,6249.421725,5,6556.890311,1,7228.420638,0,1,6200.871115999999,6409.298441,4700.738749,6491.988542,42.09892654,-79.35260773,1,0,,LAKEWOOD,CHAUTAUQUA,NY,14750
2125.63,0,5409.862755,4029.324651,5653.400467,5998.469353,1,6385.635483,3.5,6978.113877,0,0,6460.893448,5938.650887,5174.348076,6460.893448,37.2719711,-121.9546656,0,0,,CAMPBELL,Santa clara,CA,95008
1594.5,0,5409.862755,4029.324651,5653.400467,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6393.395755,6265.554379,5174.348076,6429.809504,36.3384512,-121.256435,1,0,,GREENFIELD,Monterey,CA,93927
2630.75,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6492.21742,6492.21742,7043.0101859999995,6492.21742,30.1440998,-102.4062917,1,0,,Sanderson,Terrell,TX,79848
3570.0,0,6798.068420999999,6430.99364,5708.920048,5998.469353,5,6556.890311,0,6102.208892000001,0,1,5934.745332,5936.714504,7497.67897,6479.4913670000005,45.52617264,-122.637558,1,0,,PORTLAND,Multnomah,OR,97232
4349.35,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6556.890311,0,7228.420638,0,0,6517.966265,6478.718991,5201.887175,6517.966265,29.2901147,-82.5901577,1,0,,MORRISTON,Levy,FL,32668
1321.38,0,5409.862755,4029.324651,4881.704635,5998.469353,1,6556.890311,2.5,7228.420638,0,0,6349.046478,6141.1417630000005,5174.348076,6396.849115,38.580799,-121.533764,1,0,,W SACRAMENTO,Yolo,CA,95691
4677.09,0,7461.945589,6914.717079000001,6313.763486,8429.882068,1,6556.890311,0,7228.420638,0,0,6507.160588000001,6172.863907,5794.596606,6507.160588000001,43.2745673,-93.6366056,1,0,,FOREST CITY,Winnebago,IA,50436
